order	id	pri_category	mathjax	jwst	title	sim	z
11	2512.22566	Instrumentation and Methods for Astrophysics (astro-ph.IM)	False	False	Starkindler: An Uncertainty Aware Objective for Photometric Redshift Estimation	False	False
12	2512.22617	Astrophysics of Galaxies (astro-ph.GA)	False	False	Evidence for a Stratified Accretion Disk Wind in AGN	False	False
13	2512.22661	Astrophysics of Galaxies (astro-ph.GA)	False	False	Kinematical and Photometric Deconstruction of the UGC 694-IC 412 System: Evidence for a Line-of-Sight Projection	False	False
15	2512.22685	Astrophysics of Galaxies (astro-ph.GA)	False	False	Lithium abundance and stellar rotation in the Galactic halo and thick disc: Contribution from low-mass giant field stars	False	False
6	2512.22698	Astrophysics of Galaxies (astro-ph.GA)	True	False	Cloud Properties and Star Formation in M31	False	False
17	2512.22727	Astrophysics of Galaxies (astro-ph.GA)	False	False	Heavy dark matter in rapidly evolving massive stars	False	False
3	2512.22751	Astrophysics of Galaxies (astro-ph.GA)	True	False	Rotation and stability of the circumnuclear gas disk in the Galactic Center potential by the ALMA CMZ Exploration Survey (ACES)	False	False
7	2512.23008	Astrophysics of Galaxies (astro-ph.GA)	True	False	An Empirical Law to Reproduce the Galaxy Rotation Curves	False	False
27	2512.23060	Astrophysics of Galaxies (astro-ph.GA)	False	False	Finding Quasars behind the Galactic Plane. IV. Candidate Selection from Chandra with Random Forest	False	True
21	2512.23157	Astrophysics of Galaxies (astro-ph.GA)	True	True	"The GLASS-JWST Early Release Science Program. V. Hα
luminosity functions at z\sim1.3
and z\sim2.0"	False	True
5	2512.23202	Astrophysics of Galaxies (astro-ph.GA)	True	False	MAMMOTH-LyC: Investigating the Role of Galaxy Mergers in a Strong Lyman Continuum Leaker at z=2.39	False	True
8	2512.23311	Astrophysics of Galaxies (astro-ph.GA)	True	False	The Dependence of the Extinction Coefficient on Reddening for Galactic Cepheids	False	False
39	2512.23384	Astrophysics of Galaxies (astro-ph.GA)	False	False	SiO emission in the filamentary Infrared Dark Cloud G035.39-00.33: An ALMA view	False	False
44	2512.23451	Solar and Stellar Astrophysics (astro-ph.SR)	False	False	On Systematic Errors in Cross-Identification of Binary Stars in Gaia	False	False
45	2512.23452	Astrophysics of Galaxies (astro-ph.GA)	False	False	Detections of Compact Radio Continuum toward Methanol Maser Rings Using the VLA	False	False
54	2512.23691	Instrumentation and Methods for Astrophysics (astro-ph.IM)	False	False	Galaxy Zoo Evo: 1 million human-annotated images of galaxies	False	False
